foodname,foodcategory,city,materials,description
karnıyarık,"Türk Mutfağı – Ana Yemek",Istanbul,"patlıcan,biber,soğan,domates","Önce patlıcanlar yıkandıktan sonra sap kısmından hafifçe delinip kızgın yağda dışı çıtırlaşana kadar kızartılır. Ayrı bir tavada ince doğranmış soğan, biber ve domates zeytinyağında kavrulur; tuz ve baharatlarla tatlandırılır. Kızarmış patlıcanların içi hafifçe oyularak hazırlanan harç doldurulur, fırına verilip malzemelerin birbirine iyice karışması sağlanır. Servis öncesinde sıcak olarak sunulur."
mantı,"Türk Mutfağı – Mantı",Kayseri,"un,yumurta,et,soğan,yoğurt,sarımsak","Hamur, un ve yumurta karışımı ile incecik açılır ve küçük kareler halinde kesilir. İç harç olarak, ince kıyılmış et ve soğan, tuz ve karabiber ile harmanlanır. Hamurun ortasına yerleştirilen harç, bohça şeklinde kapatılır. Bol su dolu tencerede haşlanıp, süzülerek sarımsaklı yoğurt ve eritilmiş tereyağı ile servis edilir."
pizza,"İtalyan Mutfağı",Napoli,"hamur,peynir,domates,pepperoni","Hamur yoğrulur ve mayalanması için dinlendirilir, ardından ince bir şekilde açılır. Üzerine taze domates sosu, rendelenmiş mozzarella ve dilimlenmiş pepperoni yerleştirilir. Yüksek sıcaklıkta fırında kısa sürede pişirilir; kenarları çıtır, ortası yumuşak kalır. Fırından çıkar çıkmaz sıcak olarak servis edilir."
salata,"Türk Mutfağı – Salata",Istanbul,"marul,domates,salatalık,zeytinyağı","Taze marul yaprakları, domates ve salatalık iyice yıkanır ve iri parçalar halinde doğranır. Ayrı bir kapta zeytinyağı, limon suyu, tuz ve karabiber karıştırılarak sos hazırlanır. Sebzeler bu sos ile nazikçe harmanlanır. Servis tabağına alınarak soğuk olarak sunulur."
çorba,"Türk Mutfağı – Çorba",Istanbul,"tavuk,sebze,makarna","Kemikli tavuk ve mevsim sebzeleri bol suyla birlikte büyük bir tencerede kaynatılır. Kaynama sırasında çıkan köpük alınır. Makarnalar ayrı bir kapta haşlanır ve çorbaya eklenir. Tuz ve baharatlarla tatlandırılarak uzun süre kısık ateşte demlendikten sonra sıcak olarak servis edilir."
börek,"Türk Mutfağı – Börek",Istanbul,"yufka,peynir,maydanoz,yumurta","Yufkalar teker teker açılır ve üzerine eritilmiş tereyağı sürülür. İç harç olarak rendelenmiş beyaz peynir, ince kıyılmış maydanoz ve çırpılmış yumurta karışımı hazırlanır. Yufkanın geniş yüzeyine harç yayılır, dikkatlice sarılarak rulo haline getirilir. Dilimlere kesilip, önceden ısıtılmış fırında altın rengini alana kadar pişirilir."
dolma,"Türk Mutfağı – Dolma",Istanbul,"üzüm yaprağı,pirinç,kıyma,baharat","Üzüm yaprakları yıkanır ve hafifçe yumuşatılır. Pirinç, kıyma, ince doğranmış soğan ve çeşitli baharatlarla hazırlanan iç harç, yaprakların içine konur ve sıkıca sarılır. Dolmalar bir tencereye dizilir, üzerine zeytinyağı ve limon suyu gezdirilir. Kısık ateşte, iç harç iyice pişene kadar demlendirilir."
kebap,"Türk Mutfağı – Kebap",Adana,"kıyma,soğan,biber,baharat","Kıyma, ince doğranmış soğan, rendelenmiş biber ve baharatlar geniş bir kapta iyice yoğrulur. Karışım en az 1 saat buzdolabında dinlendirilir. Daha sonra küçük parçalar haline getirilip şişlere dizilir. Mangal veya fırında yüksek ısıda pişirilerek sıcak olarak servis edilir."
lahmacun,"Türk Mutfağı – Lahmacun",Şanlıurfa,"hamur,kıyma,soğan,biber","İnce açılmış hamur üzerine, baharatlarla tatlandırılmış kıyma, ince doğranmış soğan ve biber yerleştirilir. Kenarların hafifçe kıvrılması sağlanır. Yüksek sıcaklıkta fırında kısa sürede pişirilir, hamur çıtır çıtır olur. Servis esnasında limon dilimleri ve maydanoz ile süslenir."
döner,"Türk Mutfağı – Döner",Istanbul,"et,baharat,yoğurt,lavaş","Marine edilmiş dana veya kuzu eti, özel baharat karışımında birkaç saat dinlendirilir. Et, dikey döner ocağında yavaşça pişirilir. Pişen dış katman ince dilimler halinde kesilir. Dilimler, taze lavaş ve yoğurt sosu eşliğinde servis edilir."
pilav,"Türk Mutfağı – Pilav",Istanbul,"pirinç,tereyağı,su,tuz","Pirinci iyice yıkadıktan sonra, tereyağı ile orta ateşte kavrulur. Ardından su ve tuz eklenir, tencere kapağı kapatılarak kısık ateşte demlenmeye bırakılır. Pirinç suyunu çekene kadar pişirilir. Piştikten sonra karıştırılarak sıcak olarak servis edilir."
cacık,"Türk Mutfağı – Sos",Istanbul,"yoğurt,salatalık,nane,sarımsak","Yoğurt pürüzsüz hale getirilir, salatalık rende veya küçük küpler halinde doğranır. Ezilmiş sarımsak ve ince kıyılmış nane yoğurda eklenir. Tüm malzemeler iyice karıştırılır. Buzdolabında soğutulduktan sonra meze olarak servis edilir."
imambayıldı,"Türk Mutfağı – Sebze Yemeği",İzmir,"patlıcan,domates,soğan,sarımsak,zeytinyağı","Patlıcanlar uzunlamasına kesilip, tuzla ovularak acısı alınır ve hafifçe kızartılır. Ayrı bir tencerede soğan, sarımsak, domates ve zeytinyağı kavrulur. Patlıcanlar bu karışıma eklenir, baharatlarla tatlandırılır. Kısık ateşte, tüm malzemelerin birbirine karışması sağlanır ve ılık olarak servis edilir."
menemen,"Türk Mutfağı – Kahvaltı",İzmir,"domates,yumurta,biber,soğan","Soğan ve biber ince ince doğranarak zeytinyağında hafifçe kavrulur. Ardından küp doğranmış domates eklenir ve yumuşayıncaya kadar pişirilir. Yumurtalar kırılarak karıştırılır, baharatlarla tatlandırılır. Tüm malzemeler birkaç dakika daha pişirildikten sonra sıcak olarak servis edilir."
simit,"Türk Mutfağı – Sokak Lezzeti",Istanbul,"un,susam,su,tuz","Hamur, un, su ve tuz karışımından yoğrulur, mayalanması için bekletilir. Şekil verildikten sonra halka formuna sokulur. Üzerine susam serpilir ve taş fırında yüksek sıcaklıkta pişirilir. Dışı çıtır, içi yumuşak simit olarak sunulur."
kurabiye,"Türk Mutfağı – Tatlı",Ankara,"un,şeker,tereyağı,yumurta","Un, şeker, tereyağı ve yumurta karıştırılarak yumuşak bir hamur elde edilir. Hamur küçük parçalar halinde yuvarlanır ve fırın tepsisine dizilir. Önceden ısıtılmış fırında, kenarları hafifçe kızarana kadar pişirilir. Soğuduktan sonra çayla birlikte servis edilir."
